"TaskID","Category","CompletionDate","CompletionStatus","CreatedDate","TaskName"
"10","Work","2025-01-24T15:00:00Z","true","2025-01-20T10:00:00Z","Write a client proposal that doesn’t sound like it was AI-generated"
"9","Health","","false","2025-01-23T07:30:00Z","Annual physical exam"
"8","Social","2025-01-22T17:45:00Z","true","2025-01-21T12:15:00Z","Ping an old friend IRL"
"7","Home","2025-01-21T10:30:00Z","true","2025-01-18T09:00:00Z","Deep clean the kitchen (because AI can’t do that yet)"
"6","Education","","false","2025-01-20T14:00:00Z","Complete AWS Certified Cloud Practitioner course"
"5","Work","","false","2025-01-19T13:00:00Z","Submit the quarterly financial report"
"4","Health","2025-01-16T11:00:00Z","true","2025-01-01T09:00:00Z","Survive a 5K run without questioning all life choices"
"3","Family","2025-01-12T15:00:00Z","true","2025-01-05T10:00:00Z","Host a legendary birthday bash for Mom"
"2","Personal","","false","2025-01-18T08:00:00Z","Master the art of doing nothing for 10 minutes (meditation)"
"1","Work","2025-01-15T17:00:00Z","true","2025-01-10T10:00:00Z","Craft the world's most persuasive client proposal"